CompoundID,Mass,Retention_Time,Blank_a,Blank_b,Blank_c,MatrixSpike_a,MatrixSpike_b,MatrixSpike_c,PooledMatrix_a,PooledMatrix_b,PooledMatrix_c,Sample1_a,Sample1_b,Sample1_c,Sample2_a,Sample2_b,Sample2_c,Sample3_a,Sample3_b,Sample3_c,Standard_a,Standard_b,Standard_c
1810,213.9864,3.11,,,,1692,1280,1054,26730,17639,14123,369,314,297,2215,1710,1624,317,176,219,1340,901,691
2814,229.9812,3.64,,,,536,399,352,145,89,68,,,,,,,,,,761,492,334
3263,242.0175,3.86,,,,758,548,482,,,,,,,,,,,,,791,514,428
3566,263.9831,4.33,,,,894,771,580,7979,4852,3884,56,20,18,77,52,48,,,,1057,672,539
4333,269,4.33,225,194,112,172,180,108,145,83,105,115,91,75,224,173,163,197,110,119,302,132,128
4906,279.978,4.63,,,,1288,1035,816,157,95,81,,,,,,,,,,1412,907,774
6177,285.9853,5.45,,,,592,320,325,19,11,6,,,,,,,,,,738,336,344
6187,287.9917,5.45,185,143,119,285,162,145,264,181,169,103,94,86,204,159,155,177,125,126,365,183,169
5637,295.9729,5.09,,,,285,253,162,1,,,,,,,,,,,,337,212,169
5795,299.95,5.26,,,,2478,1591,1571,6595,4601,3954,118,78,84,28,24,18,,,,2176,1463,1142
5848,302.9602,5.27,309,258,250,481,304,250,406,277,230,193,145,151,341,303,301,270,240,251,514,360,293
5317,313.9798,5.19,,,,1164,907,827,19037,14295,11728,157,135,134,119,99,83,36,,,858,719,493
6502,315.945,5.61,,,,4160,2813,2522,38,39,20,,,,,,,,,,4757,2941,2340
5739,315.9864,5.2,168,128,121,228,156,125,235,132,72,95,83,84,175,142,149,157,110,156,240,166,125
5741,318.9968,5.2,163,114,116,164,159,127,118,67,60,89,62,69,181,156,137,140,123,144,227,163,121
5421,327.9813,4.97,,,,2205,1775,1342,3,1,1,,,,,,,,,,1541,1076,904
5424,329.9877,4.95,126,88,81,347,240,195,176,124,107,108,87,76,159,108,106,183,144,187,278,158,138
5694,342.0107,5.52,,,,9028,6723,5492,536,365,327,,,,,,,,,,10153,6252,5098
7118,349.9467,6.02,,,,2647,1862,1616,7838,4647,4217,99,88,79,,,,,,,2408,1363,1119
6795,363.9765,5.86,,,,1712,1082,900,36783,27136,20097,144,112,93,26,32,,101,21,,1223,912,676
6907,367.9902,5.87,192,181,146,292,195,143,99,47,69,131,105,80,191,178,150,172,146,184,230,178,157
7293,377.9765,6.08,,,,3192,2327,1983,,,5,,,,,,,,,,3554,2408,1877
7906,399.9435,6.65,,,,2796,1724,1823,18256,11562,8861,252,201,190,94,59,67,,,,2393,1593,1006
7774,402.953,6.65,393,241,273,620,365,336,443,250,366,226,171,148,424,293,286,392,237,313,674,392,301
7967,403.9523,6.65,406,300,227,554,369,323,535,236,223,347,255,242,511,290,286,410,235,333,569,373,286
7694,413.9733,6.4,,,,4466,2650,2584,82017,118907,104867,1324,1205,981,570,512,465,641,302,21,1533,922,701
7712,417.9869,6.44,287,201,157,229,202,139,110,51,42,167,147,120,240,202,192,219,165,206,370,215,139
7720,422.0004,6.44,235,151,133,234,151,146,113,36,45,118,73,82,271,155,201,178,145,171,328,210,150
8027,427.9757,6.15,,,,2276,1482,1317,1131,763,699,,,,,,,,,,2034,1287,983
7463,429.981,6.21,141,94,92,326,258,194,208,135,122,95,60,49,167,124,120,154,125,128,374,202,169
8003,442.0045,6.8,,,,10435,8685,6437,2,,,,,,,,,,,,12839,7094,6463
8457,449.9404,7.19,,,,2949,2027,1786,10001,6538,5532,23,18,19,,,,,,,2587,1596,1362
