Chemical_Name,Formula,Ionization_Mode,Monoisotopic_Mass,Retention_Time
13C2-4:2FTS,DTXSID101350176,Esi-,329.9883,5.42
13C2-6:2FTS,DTXSID801350177,Esi-,429.9819,6.23
13C2-8:2FTS,DTXSID501350178,Esi-,529.9755,7.25
13C2-PFDA,DTXSID20894100,Esi-,515.974,7.48
13C2-PFDoA,DTXSID001028089,Esi-,615.9676,8.46
13C2-PFHxA,DTXSID901028086,Esi-,315.9868,5.1
13C2-PFTeDA,DTXSID301028088,Esi-,715.9612,9.28
13C3-HFPO-DA,DTXSID50892477,Esi-,287.9917,5.45
13C4-PFBA,DTXSID201028085,Esi-,217.9999,3.1
13C3-PFBS,DTXSID201350167,Esi-,302.9603,5.28
13C3-PFHxS,DTXSID901350170,Esi-,402.9539,6.68
13C4-PFHpA,DTXSID801337533,Esi-,367.9903,5.89
13C4-PFOA,DTXSID70892999,Esi-,417.9871,6.47
13C4-PFOS,DTXSID80894101,Esi-,503.9509,7.75
13C5-PFHxA,DTXSID801028083,Esi-,318.9969,5.21
13C5-PFNA,DTXSID70894099,Esi-,468.9873,7.00
13C5-PFPeA,DTXSID401337529,Esi-,269.0001,4.34
13C6-PFDA,DTXSID50925719,Esi-,519.9874,7.79
13C7-PFUnA,DTXSID101028082,Esi-,570.9876,7.96
13C8-PFOA,DTXSID501337534,Esi-,422.0005,6.47
13C8-PFOS,DTXSID601350171,Esi-,507.9643,7.15
13C8-PFOSA,DTXSID001337591,Esi-,506.9803,8.93
13C9-PFNA,DTXSID201337535,Esi-,473.0007,7.01
18O2-PFHxS,NODTXSID,Esi-,403.9497,6.68
D3-NMeFOSA,DTXSID301337607,Esi-,515.988,10.1
D3-NMeFOSAA,DTXSID701337609,Esi-,573.9934,7.51
D5-NEtFOSA,DTXSID001337608,Esi-,532.0162,10.4
D5-NEtFOSAA,DTXSID001337610,Esi-,590.0216,7.73
D7-NMeFOSE,DTXSID701337611,Esi-,624.0605,10
D9-NEtFOSE,DTXSID401337612,Esi-,640.0887,10.3
